Id,label
2441,glass
0000,cup
2442,glass
6535,spoon

0001,cup
3505,plate
1650,fork
0002,cup
3506,plate
0003,cup
0004,cup
0005,cup
3507,plate
1653,fork
0006,cup

0008,cup
6537,spoon
0009,cup
6538,spoon
3509,plate
6539,spoon
6540,spoon
0010,cup
6541,spoon
3510,plate

3512,plate
0011,cup
2444,glass
0012,cup
6542,spoon
3513,plate

2445,glass

3514,plate
1655,fork
0013,cup

3516,plate
3517,plate
3518,plate

0016,cup
6546,spoon
3519,plate

1657,fork
3520,plate
0019,cup
2447,glass
2448,glass
6547,spoon
6548,spoon
2449,glass

6550,spoon
0020,cup
1658,fork
2450,glass
0021,cup
0022,cup
2452,glass
0023,cup
2453,glass
3523,plate
3524,plate
2454,glass

6551,spoon

3525,plate

1659,fork
1660,fork
6552,spoon
3526,plate

1661,fork
2456,glass
6553,spoon

2457,glass
6554,spoon
2458,glass
3527,plate

6555,spoon
0029,cup

6556,spoon
6557,spoon
3528,plate
1662,fork
0031,cup

1663,fork
6558,spoon
0032,cup
6559,spoon
2460,glass
0033,cup
6561,spoon
6562,spoon
6563,spoon
1664,fork

6564,spoon

6565,spoon
3530,plate
0035,cup

3531,plate
1665,fork
0036,cup
1666,fork
1667,fork
0039,cup
3532,plate

6566,spoon
0040,cup
0041,cup

0043,cup

2461,glass

